"el"      "eb"       "ew"      "cw"
   28.80     21.84      7.400     5.200
   29.04     22.45      7.700     5.400
   29.36     22.48      7.900     5.600
   30.10     21.71      7.500     5.300
   30.17     22.75      8.300     5.900
   30.34     22.84      8.500     5.800
   30.36     22.50      8.200     5.800
   30.46     22.72      8.300     6.000
   30.54     23.31      9.000     6.100
   30.62     22.94      8.500     6.200
   30.70     23.18      8.600     6.500
   30.71     22.51      8.200     5.700
   30.86     22.52      8.300     6.200
   30.87     23.35      8.700     6.400
   30.89     22.78      8.500     6.200
   30.90     22.81      8.400     6.100
   31.00     23.09      8.500     6.300
   31.06     23.42      8.900     6.300
   31.07     23.82      9.100     6.500
   31.14     23.70      8.900     6.000
   31.18     22.92      8.600     5.600
   31.41     22.79      8.500     6.200
   31.46     22.86      8.800     6.300
   31.47     22.35      8.300     5.800
   31.50     22.19      8.200     5.700
   31.50     22.40      8.200     6.000
   31.55     23.17      8.900     6.400
   31.56     22.54      8.500     5.900
   31.68     22.82      8.800     6.400
   31.81     22.68      8.600     6.200
   31.98     23.21      9.100     7.100
   32.06     23.10      9.000     6.500
   32.14     22.87      8.900     5.800
   32.16     23.34      9.200     6.400
   32.30     23.20      9.100     6.400
   32.53     22.68      8.600     6.100
   32.54     22.50      8.800     6.200
   32.66     23.14      9.100     6.800
   32.72     23.25      9.200     6.300
   32.78     23.23      9.200     6.400
   32.98     22.94      8.900     6.400
   33.15     23.02      9.100     6.600
   33.30     23.70      9.900     7.100
   33.73     22.72      9.000     6.300
